"ciudad","anio","modalidad_de_contratacion","contratos","valor"
"Tibasosa","2025","Contratación régimen especial (con ofertas)","13","5226011875.84"
"Chiquinquirá","2023","Contratación régimen especial (con ofertas)","10","8538842342.32"
"Tasco","2025","Contratación directa","103","3770864268.25"
"Guateque","2026","Selección abreviada subasta inversa","5","819136595"
"Paipa","2023","Contratación Directa (con ofertas)","4","83445652"
"Briceño","2026","Contratación Directa (con ofertas)","3","125426366"
"Gachantivá","2024","Contratación Directa (con ofertas)","1","93127671.4"
"Soracá","2022","Contratación régimen especial (con ofertas)","2","230736548"
"Buenavista","2023","Contratación régimen especial (con ofertas)","4","1248271889.96"
"Sogamoso","2023","Selección abreviada subasta inversa","26","2809180421.31"
"Miraflores","2025","Selección abreviada subasta inversa","5","1241035066"
"Pachavita","2018","Contratación régimen especial (con ofertas)","2","144144107.2"
"Aquitania","2022","Contratación directa","7","85346262"
"Iza","2024","Contratación Directa (con ofertas)","2","35000000"
"Ramiriquí","2020","Contratación régimen especial (con ofertas)","3","561053124"
"Tibasosa","2024","Contratación régimen especial","18","1654107283.74"
"Ramiriquí","2023","Selección abreviada subasta inversa","6","1768413626.79"
"Tunja","2024","Licitación pública Obra Publica","9","30646340777.36"
"Paya","2025","Contratación directa","152","3806068568.60"
"Firavitoba","2023","Contratación régimen especial (con ofertas)","7","1233223541.38"
"Quípama","2022","Selección Abreviada de Menor Cuantía","1","35856000"
"San Mateo","2024","Contratación régimen especial (con ofertas)","7","1291610804.33"
"Belén","2018","Contratación régimen especial (con ofertas)","4","461660035"
"Tibasosa","2023","Mínima cuantía","54","988380646.77"
"Siachoque","2024","Mínima cuantía","1","9580500"
"Rondón","2022","Contratación régimen especial (con ofertas)","1","335107200"
"Iza","2024","Contratación régimen especial (con ofertas)","10","1208225253.73"
"Chíquiza","2017","Contratación régimen especial (con ofertas)","1","508477218"
"Ramiriquí","2024","Mínima cuantía","86","1681342928.58"
"Maripí","2024","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","1","595737005"
"Tunja","2023","Selección Abreviada de Menor Cuantía","83","21777992113.35"
"Ciénega","2024","Contratación régimen especial (con ofertas)","8","1676581430.67"
"Tasco","2024","Mínima cuantía","32","949359753.41"
"Pisba","2023","Selección abreviada subasta inversa","1","54575661"
"Ciénega","2018","Contratación régimen especial","1","337610000"
"Paz De Río","2025","Contratación directa","135","1956828544"
"Oicatá","2025","Contratación directa","32","933299069"
"Covarachía","2026","Contratación régimen especial (con ofertas)","3","466394418.7"
"Tinjacá","2024","Contratación Directa (con ofertas)","3","221078247.01"
"Tunja","2026","Licitación pública","12","108319255575.67"
"Santana","2025","Selección abreviada subasta inversa","2","272912493.66"
"Tota","2023","Mínima cuantía","6","87795555.59"
"Cuítiva","2018","Contratación régimen especial (con ofertas)","2","137910000"
"Santa Rosa De Viterbo","2021","Contratación régimen especial (con ofertas)","1","80000000"
"Somondoco","2026","Contratación directa","62","1144148359.3"
"Pesca","2020","Contratación régimen especial (con ofertas)","1","85623125"
"El Espino","2025","Contratación régimen especial (con ofertas)","1","308791542"
"Sogamoso","2024","Contratación régimen especial","2","2499000000"
"Aquitania","2023","Selección abreviada subasta inversa","6","649079650"
"Labranzagrande","2026","Contratación régimen especial (con ofertas)","1","1177897199.98"
"Guateque","2019","Contratación régimen especial (con ofertas)","4","1723081471"
"Tinjacá","2024","Selección Abreviada de Menor Cuantía","4","326803388"
"Villa De Leyva","2026","Contratación directa","200","7021889621.83"
"Duitama","2021","Licitación pública","1","487240013"
"Tota","2022","Selección Abreviada de Menor Cuantía","1","71712000"
"Duitama","2019","Mínima cuantía","33","370385928.92"
"Samacá","2026","Licitación pública Obra Publica","3","7815328620.39"
"Firavitoba","2025","Concurso de méritos abierto","1","57738000"
"Miraflores","2023","Contratación Directa (con ofertas)","4","43600000"
"Miraflores","2023","Concurso de méritos abierto","2","95522204.52"
"Santa Rosa De Viterbo","2024","Mínima cuantía","13","345595845"
"Miraflores","2025","Selección Abreviada de Menor Cuantía","8","1434924831.30"
"Duitama","2024","Contratación régimen especial (con ofertas)","8","7906379807.65"
"Cerinza","2024","Mínima cuantía","15","247012573"
"Santana","2025","Contratación régimen especial (con ofertas)","9","2205352716"
"Somondoco","2020","Contratación régimen especial (con ofertas)","1","152189900"
"Gachantivá","2020","Contratación régimen especial","2","117521800"
"Boyacá","2025","Contratación régimen especial (con ofertas)","3","618318991.67"
"Sora","2026","Mínima cuantía","30","660540654.64"
"Sora","2022","Contratación régimen especial (con ofertas)","6","848593614.18"
"Chiquinquirá","2025","Concurso de méritos abierto","1","76756414.85"
"Santa Rosa De Viterbo","2024","Contratación régimen especial (con ofertas)","7","2482744255.46"
"Tibasosa","2024","Contratación régimen especial (con ofertas)","10","4360369158.70"
"Santana","2021","Contratación régimen especial (con ofertas)","3","942863940"
"Santa Rosa De Viterbo","2018","Mínima cuantía","62","495443969.10"
"Macanal","2026","Contratación directa","52","2539893170.93"
"Miraflores","2025","Mínima cuantía","77","41126634714.52"
"Tunja","2023","Concurso de méritos abierto","20","11129299358.02"
"Ráquira","2018","Contratación régimen especial","1","101000000"
"Guateque","2025","Enajenación de bienes con subasta","1","64685040"
"Cucaita","2025","Contratación directa","79","1516357488"
"San Mateo","2026","Concurso de méritos abierto","1","64750000"
"Soatá","2024","Contratación Directa (con ofertas)","2","131758518"
"Chita","2026","Contratación directa","92","2354762619.78"
"Tenza","2026","Contratación régimen especial (con ofertas)","3","739734516.62"
"Duitama","2023","Selección abreviada subasta inversa","7","5923558833.6"
"San Pablo De Borbur","2024","Contratación régimen especial","4","65102510"
"Saboyá","2022","Contratación régimen especial","9","62660000"
"Pauna","2025","Mínima cuantía","45","32802205994.93"
"Ramiriquí","2018","Contratación régimen especial","1","453854400"
"Villa De Leyva","2021","Contratación régimen especial","2","48586000"
"Tinjacá","2021","Contratación régimen especial","1","96571280"
"Coper","2026","Selección abreviada subasta inversa","1","130734308"
"Somondoco","2025","Contratación régimen especial (con ofertas)","2","430472272"
"Tinjacá","2023","Contratación régimen especial (con ofertas)","37","343181874"
"Tuta","2023","Selección abreviada subasta inversa","2","128395100"
"Guateque","2021","Contratación régimen especial (con ofertas)","1","44839000"
"Monguí","2022","Mínima cuantía","1","24656079.86"
"Nuevo Colón","2023","Contratación directa","28","54840542"
"Boyacá","2025","Mínima cuantía","68","1900190810.05"
"Sotaquirá","2024","Selección Abreviada de Menor Cuantía","6","1071782559.51"
"Berbeo","2025","Contratación régimen especial (con ofertas)","12","1447777398.02"
"Socha","2026","Contratación régimen especial (con ofertas)","5","2190439852.15"
"Tota","2020","Contratación régimen especial (con ofertas)","1","136900000"
"Sáchica","2022","Contratación régimen especial","1","4500000"
"Toca","2025","Contratación directa","3","18000000"
"Cómbita","2024","Mínima cuantía","52","1185293340.52"
"Sora","2026","Licitación pública Obra Publica","1","708574000"
"Nobsa","2025","Selección Abreviada de Menor Cuantía","7","2054539041.65"
"Coper","2024","Mínima cuantía","37","714610159.2"
"Cómbita","2026","Enajenación de bienes con subasta","1","49285080"
"Paya","2024","Contratación régimen especial (con ofertas)","12","3419800801.70"
"El Cocuy","2026","Mínima cuantía","37","894706673.42"
"Villa De Leyva","2025","Selección abreviada subasta inversa","15","2658216016"
"Sotaquirá","2020","Contratación régimen especial (con ofertas)","2","331783809"
"Motavita","2024","Mínima cuantía","38","820885004.30"
"Belén","2026","Contratación directa","69","1501203025.2"
"Buenavista","2025","Contratación régimen especial (con ofertas)","10","1412973192"
"Chiquinquirá","2023","Licitación pública","4","4456695381.13"
"Berbeo","2019","Contratación régimen especial (con ofertas)","4","107852640.36"
"Cucaita","2026","Mínima cuantía","23","484644354.89"
"Pauna","2025","Concurso de méritos abierto","2","207045984.18"
"Villa De Leyva","2023","Contratación régimen especial (con ofertas)","21","6495795163.20"
"Socotá","2024","Contratación régimen especial","7","197521800"
"Tasco","2020","Licitación pública Obra Publica","1","787710302"
"Ciénega","2025","Contratación régimen especial (con ofertas)","6","1933840304.48"
"Umbita","2023","Contratación régimen especial (con ofertas)","5","1287592512.94"
"Aquitania","2024","Contratación Directa (con ofertas)","6","206619600"
"Macanal","2022","Contratación directa","1","3000000000"
"Samacá","2024","Licitación pública","3","3064312191.69"
"El Cocuy","2025","Mínima cuantía","56","1159024782.58"
"Sutatenza","2018","Contratación régimen especial","2","199165960"
"Sativasur","2024","Selección Abreviada de Menor Cuantía","1","69320000"
"Maripí","2025","Concurso de méritos abierto","2","310698956"
"Nobsa","2022","Contratación régimen especial (con ofertas)","4","1185931914"
"Corrales","2024","Selección Abreviada de Menor Cuantía","3","907764859.75"
"Tunja","2023","Contratación directa","8048","470789004424.55"
"Tunja","2025","Mínima cuantía","422","17582470610.04"
"Tunja","2023","Contratación régimen especial (con ofertas)","138","186188657966.97"
"Sativasur","2026","Contratación directa","49","793398072"
"Chiquinquirá","2026","Selección abreviada subasta inversa","2","420465000"
"Santa Sofía","2024","Contratación régimen especial (con ofertas)","5","768851080.05"
"Somondoco","2024","Selección Abreviada de Menor Cuantía","3","291978700"
"Chiquinquirá","2022","Contratación Directa (con ofertas)","31","1479806237"
"Socha","2023","Contratación régimen especial","32","805313466"
"Puerto Boyacá","2021","Licitación pública Obra Publica","6","9129360543"
"Sativanorte","2024","Contratación régimen especial (con ofertas)","10","1322142322.78"
"Somondoco","2023","Selección abreviada subasta inversa","1","57620000"
"Tasco","2025","Mínima cuantía","36","1141352719.43"
"Tunja","2019","Contratación Directa (con ofertas)","1","65450000"
"Chinavita","2024","Contratación régimen especial","2","61500000"
"Covarachía","2024","Selección Abreviada de Menor Cuantía","3","177054769"
"Susacón","2024","Contratación directa","62","920993593.94"
"Sogamoso","2025","Selección abreviada subasta inversa","44","11510347534.59"
"No Definido","2020","Selección abreviada subasta inversa","1","315690069.2"
"Maripí","2025","Selección abreviada subasta inversa","3","603500000"
"Duitama","2026","Contratación régimen especial","4","1100173433.58"
"Tunja","2017","Mínima cuantía","8","308866825.26"
"Caldas","2023","Mínima cuantía","5","155778099"
"Gachantivá","2020","Contratación régimen especial (con ofertas)","1","75000000"
"Tibasosa","2026","Selección abreviada subasta inversa","10","1753109350.04"
"Muzo","2025","Contratación régimen especial (con ofertas)","5","2250312938"
"Firavitoba","2025","Contratación régimen especial (con ofertas)","8","1866599076"
"Paipa","2022","Mínima cuantía","9","172011955"
"Buenavista","2025","Contratación Directa (con ofertas)","1","6000000"
"Tunja","2018","Contratación Directa (con ofertas)","6","1146982098"
"Santa María","2024","Contratación régimen especial (con ofertas)","7","1169322577.62"
"Gachantivá","2024","Concurso de méritos abierto","2","750635077"
"Almeida","2018","Contratación régimen especial","1","58417800"
"Betéitiva","2023","Contratación directa","2","4160000"
"Cucaita","2024","Contratación régimen especial (con ofertas)","6","981137375"
"Cómbita","2025","Mínima cuantía","59","1419052688.90"
"Socha","2021","Contratación régimen especial (con ofertas)","7","1120136020"
"Arcabuco","2025","Contratación régimen especial (con ofertas)","2","577095947.87"
"Susacón","2025","Contratación directa","67","1400925014.10"
"Soatá","2024","Contratación directa","145","1424793316.0"
"Sogamoso","2023","Licitación pública","11","27835474151.15"
"Coper","2026","Contratación directa","83","1631715687.64"
"Sutamarchán","2025","Contratación directa","99","288809023168.96"
"Paz De Río","2026","Contratación régimen especial (con ofertas)","5","1390378468.47"
"Firavitoba","2024","Selección Abreviada de Menor Cuantía","4","698867351"
"No Definido","2025","Selección Abreviada de Menor Cuantía","74","14613334891.54"
"Puerto Boyacá","2023","Contratación directa","554","41587616588"
"Sativasur","2024","Contratación régimen especial (con ofertas)","3","369396501.16"
"Sotaquirá","2024","Licitación pública Obra Publica","2","1636027247.98"
"Pauna","2026","Selección Abreviada de Menor Cuantía","4","604033432.46"
"San Pablo De Borbur","2024","Contratación Directa (con ofertas)","2","213817578.2"
"Garagoa","2024","Contratación directa","142","2641695844.98"
"El Cocuy","2025","Licitación pública","1","527528490"
"Garagoa","2018","Contratación régimen especial (con ofertas)","2","553731600"
"Paz De Río","2026","Mínima cuantía","27","653527802"
"Coper","2025","Contratación directa","98","3084885930.20"
"Moniquirá","2024","Contratación régimen especial (con ofertas)","11","12450245096.00"
"Santana","2019","Contratación régimen especial (con ofertas)","1","518149800"
"Belén","2026","Selección abreviada subasta inversa","2","678700000"
"Sutamarchán","2024","Mínima cuantía","22","442804393.93"
"Duitama","2018","Mínima cuantía","46","366323953.8"
"Duitama","2021","Contratación régimen especial (con ofertas)","3","5325891305"
"Coper","2023","Contratación régimen especial","2","134418570"
"Pisba","2023","Contratación directa","12","154350432"
"Sora","2024","Contratación régimen especial","1","55897380"
"Miraflores","2024","Mínima cuantía","61","28404128179.81"
"Garagoa","2025","Concurso de méritos abierto","1","136816666"
"Ramiriquí","2026","Selección Abreviada de Menor Cuantía","8","1473250555.3"
"Ciénega","2022","Contratación régimen especial","5","19621400"
"Miraflores","2023","Contratación directa","158","3543483928.99"
"Moniquirá","2023","Selección Abreviada de Menor Cuantía","14","1992487924.57"
"San José De Pare","2018","Contratación régimen especial (con ofertas)","2","210223046"
"Duitama","2026","Contratación régimen especial (con ofertas)","13","8053509528"
"Cómbita","2026","Mínima cuantía","27","760064467.89"
"Soatá","2025","Selección abreviada subasta inversa","1","59000000"
"Puerto Boyacá","2021","Contratación régimen especial","1","1242051693"
"No Definido","2025","Mínima cuantía","395","12167505374.94"
"Samacá","2024","Contratación directa","332","7854376209.33"
"San Luis De Gaceno","2025","Contratación régimen especial (con ofertas)","2","476740348.04"
"Tópaga","2018","Contratación régimen especial","2","334666600"
"Tópaga","2024","Contratación directa","11","257358550"
"Chita","2026","Mínima cuantía","42","1557256865.07"
"Boyacá","2024","Contratación régimen especial (con ofertas)","7","992544861.56"
"San José De Pare","2023","Contratación régimen especial (con ofertas)","2","307750197"
"El Cocuy","2025","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","2","980000000"
"Paya","2024","Mínima cuantía","52","1636886673.05"
"Coper","2023","Mínima cuantía","1","10858652"
"Iza","2025","Contratación Directa (con ofertas)","6","633219873.7"
"Buenavista","2020","Contratación régimen especial (con ofertas)","2","343756818"
"Motavita","2026","Contratación régimen especial","1","80400000"
"Briceño","2024","Contratación directa","81","1010740482.38"
"Corrales","2026","Mínima cuantía","44","1238068681.28"
"Villa De Leyva","2023","Licitación pública","3","991722631"
"Campohermoso","2018","Contratación régimen especial (con ofertas)","3","265145000"
"Chiquinquirá","2024","Contratación régimen especial","19","266780765"
"Sogamoso","2021","Contratación Directa (con ofertas)","5","126209980"
"Chinavita","2020","Contratación régimen especial (con ofertas)","2","118542459"
"Motavita","2023","Contratación Directa (con ofertas)","1","13112917.21"
"Berbeo","2026","Contratación régimen especial (con ofertas)","4","464250873.98"
"Chinavita","2024","Contratación régimen especial (con ofertas)","12","1102923025.08"
"Duitama","2025","Concurso de méritos abierto","3","434659400"
"Sutamarchán","2026","Contratación régimen especial (con ofertas)","3","997842458.46"
"Siachoque","2026","Mínima cuantía","2","41513295"
"Samacá","2023","Selección Abreviada de Menor Cuantía","1","449034520.69"
"Moniquirá","2023","Selección abreviada subasta inversa","15","6439393215.27"
"Cerinza","2021","Contratación régimen especial (con ofertas)","5","641630515"
"Sáchica","2023","Contratación régimen especial","3","12002500"
"Iza","2022","Contratación régimen especial (con ofertas)","8","846034938.11"
"Soracá","2026","Contratación directa","3","82500000"
"Paya","2023","Contratación directa","20","295473216.44"
"Susacón","2025","Mínima cuantía","34","709417490.66"
"Socha","2024","Contratación régimen especial","48","1262284191.25"
"Somondoco","2018","Contratación régimen especial (con ofertas)","1","117506216"
"Pachavita","2022","Contratación régimen especial (con ofertas)","4","478636000.01"
"Villa De Leyva","2022","Selección Abreviada de Menor Cuantía","11","1761732165"
"Socotá","2024","Contratación directa","143","1805524262.66"
"Iza","2023","Contratación régimen especial (con ofertas)","4","574549524.89"
"Boyacá","2023","Contratación régimen especial (con ofertas)","6","1218014053.20"
"Ramiriquí","2024","Concurso de méritos abierto","1","138999390"
"Duitama","2021","Selección abreviada subasta inversa","7","1980811662.85"
"Pisba","2024","Selección abreviada subasta inversa","3","619748038"
"Berbeo","2024","Contratación régimen especial (con ofertas)","10","1107006236.31"
"Sutamarchán","2025","Contratación régimen especial (con ofertas)","5","1889039629"
"Boyacá","2021","Contratación régimen especial (con ofertas)","5","385056300"
"Moniquirá","2024","Licitación pública","1","45500000"
"Tinjacá","2022","Contratación régimen especial (con ofertas)","1","169473685"
"Villa De Leyva","2023","Concurso de méritos abierto","7","327336728.49"
"Chiquinquirá","2023","Mínima cuantía","82","1805470391.8"
"Arcabuco","2026","Contratación régimen especial (con ofertas)","2","851265117"
"Gachantivá","2023","Contratación directa","17","118192666"
"Sutamarchán","2023","Concurso de méritos abierto","1","83266492.85"
"San Eduardo","2026","Selección abreviada subasta inversa","2","389993183"
"Tinjacá","2019","Contratación régimen especial (con ofertas)","2","481029920"
"Pesca","2026","Contratación régimen especial (con ofertas)","7","2031758631.45"
"Cucaita","2024","Mínima cuantía","56","1222002523.56"
"Soatá","2024","Selección abreviada subasta inversa","2","120253086"
"Berbeo","2020","Contratación régimen especial (con ofertas)","3","204084140"
"Duitama","2024","Licitación pública Obra Publica","1","1327315463.43"
"Tasco","2025","Contratación Directa (con ofertas)","4","171402897.2"
"San Eduardo","2020","Contratación régimen especial (con ofertas)","5","394374085.83"
"Berbeo","2025","Selección Abreviada de Menor Cuantía","13","1871104097.53"
"Soracá","2026","Contratación régimen especial (con ofertas)","4","2451835259.39"
"Sotaquirá","2025","Contratación régimen especial (con ofertas)","9","2973335858.46"
"Moniquirá","2019","Mínima cuantía","26","131418945"
"Ráquira","2026","Contratación régimen especial (con ofertas)","7","1731038699.0"
"Chiquinquirá","2022","Concurso de méritos abierto","6","625218491.15"
"Almeida","2020","Contratación régimen especial (con ofertas)","1","59568800"
"No Definido","2026","Licitación pública Obra Publica","3","4279475561.56"
"Ramiriquí","2023","Contratación régimen especial","1","8400000"
"Toca","2022","Contratación régimen especial","4","25780000"
"Santa María","2018","Contratación Directa (con ofertas)","1","26001135"
"Samacá","2026","Licitación pública","4","7540326360"
"Cómbita","2026","Selección abreviada subasta inversa","2","351000000"
"Ventaquemada","2026","Contratación régimen especial","1","431300000"
"Tunja","2026","Enajenación de bienes con sobre cerrado","1","2100000000"
"Paipa","2024","Contratación régimen especial","33","867935914"
"Pesca","2026","Selección abreviada subasta inversa","1","145118049"
"Güicán","2026","Mínima cuantía","1","8000000"
"Tunja","2026","Licitación pública Obra Publica","4","18951251342.01"
"El Espino","2022","Contratación régimen especial (con ofertas)","1","124254270"
"Sogamoso","2026","Licitación pública Obra Publica","2","44717157562.58"
"Sogamoso","2023","Contratación régimen especial","4","181655184"
"Sogamoso","2026","Licitación pública","5","18405417116.91"
"Cómbita","2026","Contratación régimen especial (con ofertas)","9","3177322140.45"
"Villa De Leyva","2020","Contratación régimen especial (con ofertas)","2","567149465"
"Santa María","2022","Contratación régimen especial (con ofertas)","3","291678624.99"
"Aquitania","2024","Selección Abreviada de Menor Cuantía","1","152588404"
"El Cocuy","2023","Contratación régimen especial (con ofertas)","5","1112743766.44"
"Gameza","2026","Contratación régimen especial (con ofertas)","6","1943984455.79"
"Betéitiva","2024","Selección Abreviada de Menor Cuantía","3","281283405.74"
"Corrales","2025","Selección abreviada subasta inversa","1","107832088"
"Chiquinquirá","2023","Licitación pública Obra Publica","3","10576967095.86"
"San José De Pare","2024","Contratación régimen especial","6","442587815"
"Soatá","2023","Licitación pública","1","368164880.17"
"Gameza","2024","Contratación régimen especial (con ofertas)","9","1864633615.92"
"Covarachía","2020","Contratación régimen especial (con ofertas)","4","370437875"
"Cerinza","2026","Contratación directa","54","1118820106"
"Puerto Boyacá","2024","Concurso de méritos abierto","3","540931016"
"Miraflores","2023","Selección Abreviada de Menor Cuantía","20","2799319568.72"
"Chiquinquirá","2022","Contratación régimen especial (con ofertas)","5","2967175412.78"
"Sogamoso","2024","Enajenación de bienes con sobre cerrado","1","57594200"
"Moniquirá","2024","Concurso de méritos abierto","2","215999969.77"
"Socotá","2017","Contratación régimen especial (con ofertas)","1","287537866"
"Covarachía","2026","Selección abreviada subasta inversa","2","402520000"
"Caldas","2025","Selección abreviada subasta inversa","6","1212412800"
"Chiquinquirá","2023","Contratación directa","417","14198698570.12"
"Maripí","2020","Contratación régimen especial (con ofertas)","2","316787780"
"Sora","2023","Mínima cuantía","5","67251249.24"
"Firavitoba","2024","Contratación régimen especial (con ofertas)","8","1704907584.56"
"No Definido","2024","Licitación pública","1","1235464369"
"Siachoque","2022","Contratación régimen especial","1","2000000"
"Sativasur","2023","Mínima cuantía","3","25074460"
"Socotá","2026","Contratación régimen especial (con ofertas)","8","2562235667.24"
"Berbeo","2022","Contratación régimen especial (con ofertas)","6","666904615.63"
"Gameza","2025","Contratación directa","2","25791499"
"Santa María","2026","Selección abreviada subasta inversa","4","1278419956"
"Chiquinquirá","2024","Contratación régimen especial (con ofertas)","16","11359949875.33"
"Duitama","2026","Mínima cuantía","100","4523809447.28"
"Puerto Boyacá","2025","Selección abreviada subasta inversa","32","8144155723"
"Sora","2023","Contratación régimen especial (con ofertas)","7","1052936960.32"
"Rondón","2019","Contratación régimen especial (con ofertas)","3","439474000"
"Garagoa","2025","Selección Abreviada de Menor Cuantía","5","729831019"
"Pauna","2026","Contratación directa","77","1498659664.87"
"Sáchica","2022","Contratación régimen especial (con ofertas)","4","759887007.63"
