"ciudad","anio","modalidad_de_contratacion","contratos","valor"
"Togüí","2022","Selección Abreviada de Menor Cuantía","1","78000000"
"Umbita","2026","Contratación régimen especial","2","33800000"
"Moniquirá","2018","Contratación régimen especial","2","305142857"
"Tasco","2025","Licitación pública Obra Publica","1","734511871"
"Aquitania","2021","Contratación régimen especial (con ofertas)","4","1776880222"
"Covarachía","2021","Contratación régimen especial","4","499313121"
"Socotá","2023","Contratación directa","5","18388845"
"Puerto Boyacá","2022","Contratación Directa (con ofertas)","26","27629853221"
"Guateque","2022","Contratación régimen especial (con ofertas)","2","347330000"
"Cucaita","2024","Selección abreviada subasta inversa","4","614892482.74"
"Caldas","2025","Contratación régimen especial","1","25000000"
"Oicatá","2026","Selección Abreviada de Menor Cuantía","1","67883075"
"Nuevo Colón","2022","Contratación régimen especial (con ofertas)","5","782926007.07"
"Chiquinquirá","2025","Contratación régimen especial","22","317238585"
"Duitama","2023","Mínima cuantía","142","4102556769.93"
"Duitama","2022","Licitación pública","5","10332919455"
"Tunja","2020","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","1","524343600"
"Cucaita","2023","Mínima cuantía","3","98387489.43"
"No Definido","2022","Contratación Directa (con ofertas)","7","1507870982.86"
"Soracá","2025","Contratación directa","4","25800000"
"Soatá","2023","Contratación régimen especial","85","10333450087.66"
"Betéitiva","2024","Mínima cuantía","33","557185792.18"
"Pesca","2022","Contratación régimen especial (con ofertas)","2","312760000"
"Puerto Boyacá","2026","Contratación régimen especial (con ofertas)","8","8221526711"
"Covarachía","2024","Contratación régimen especial","10","1756662852.71"
"Cuítiva","2026","Contratación régimen especial (con ofertas)","4","720437708.98"
"Garagoa","2024","Contratación régimen especial (con ofertas)","5","968443990.59"
"Cuítiva","2019","Contratación régimen especial (con ofertas)","1","224280660"
"Santana","2026","Selección abreviada subasta inversa","2","338829933"
"Duitama","2024","Selección abreviada subasta inversa","6","1316074128"
"No Definido","2022","Selección abreviada subasta inversa","19","5703486240.45"
"Santa María","2023","Contratación directa","6","164971028.31"
"Togüí","2026","Contratación régimen especial (con ofertas)","6","2580316225.97"
"Tunja","2022","Mínima cuantía","492","15047279495.54"
"Iza","2018","Contratación régimen especial (con ofertas)","7","483552825"
"Villa De Leyva","2026","Contratación régimen especial (con ofertas)","10","4158367887"
"La Uvita","2024","Contratación directa","152","1511200568"
"No Definido","2019","Selección abreviada subasta inversa","3","444882828.8"
"Sativanorte","2024","Selección abreviada subasta inversa","2","1082730750.65"
"El Cocuy","2023","Selección Abreviada de Menor Cuantía","1","99440250"
"Quípama","2025","Contratación régimen especial (con ofertas)","5","2877430377.74"
"Chíquiza","2026","Contratación régimen especial (con ofertas)","1","78720000"
"Tota","2023","Contratación directa","3","18000000"
"Monguí","2025","Mínima cuantía","35","798898792.78"
"Chivor","2024","Contratación régimen especial (con ofertas)","4","727838416.5"
"Sáchica","2024","Contratación régimen especial (con ofertas)","6","962810036"
"San José De Pare","2022","Contratación régimen especial (con ofertas)","5","723915495.26"
"No Definido","2022","Licitación pública Obra Publica","2","2662139412.98"
"Firavitoba","2026","Selección Abreviada de Menor Cuantía","3","974939797"
"Chiquinquirá","2023","Contratación Directa (con ofertas)","49","11409822863.51"
"Belén","2025","Concurso de méritos abierto","1","192749750"
"Villa De Leyva","2026","Selección Abreviada de Menor Cuantía","9","1209690055"
"El Cocuy","2025","Contratación régimen especial (con ofertas)","1","219630054"
"Sogamoso","2023","Mínima cuantía","312","10360621693.36"
"Nuevo Colón","2024","Contratación régimen especial","140","1312015549"
"Sutamarchán","2024","Contratación directa","86","1404490717.5"
"Iza","2025","Contratación régimen especial (con ofertas)","10","1948687154"
"San Pablo De Borbur","2024","Contratación régimen especial (con ofertas)","10","1795624777.65"
"Cucaita","2026","Contratación régimen especial (con ofertas)","3","695258861.46"
"Socotá","2025","Mínima cuantía","50","1553462989.88"
"Cerinza","2025","Contratación Directa (con ofertas)","3","233046691.4"
"Sotaquirá","2025","Selección abreviada subasta inversa","2","415826679"
"Miraflores","2024","Contratación Directa (con ofertas)","6","50086666"
"Puerto Boyacá","2023","Concurso de méritos abierto","2","60000000.01"
"Sáchica","2025","Selección Abreviada de Menor Cuantía","10","2484420901.21"
"Rondón","2018","Contratación régimen especial","3","381764742"
"Sogamoso","2020","Selección abreviada subasta inversa","4","657155271"
"Sotaquirá","2021","Mínima cuantía","1","2486530"
"Sotaquirá","2019","Contratación régimen especial (con ofertas)","1","627126260"
"Belén","2023","Contratación directa","6","122657075.49"
"Paya","2026","Contratación directa","120","4956524103.59"
"No Definido","2023","Contratación Directa (con ofertas)","13","1719336750.64"
"Santa María","2024","Contratación directa","78","2457372602.26"
"Tunja","2026","Selección abreviada subasta inversa","33","21616916024.30"
"El Cocuy","2021","Contratación régimen especial (con ofertas)","2","227333352"
"San Pablo De Borbur","2022","Contratación régimen especial (con ofertas)","4","858944792.26"
"Sativanorte","2025","Mínima cuantía","33","636762088.98"
"Ramiriquí","2026","Contratación directa","95","2294136995"
"Guateque","2018","Mínima cuantía","41","133208448"
"Aquitania","2023","Selección Abreviada de Menor Cuantía","13","2182959845.37"
"Cucaita","2026","Selección Abreviada de Menor Cuantía","5","833976301.74"
"Macanal","2026","Contratación régimen especial","1","3355500"
"Cucaita","2025","Mínima cuantía","40","868999821.29"
"Sogamoso","2026","Contratación Directa (con ofertas)","1","0"
"Tunja","2018","Licitación pública","6","14703329702.21"
"San Pablo De Borbur","2026","Licitación pública","1","966929000"
"Tibaná","2024","Contratación régimen especial (con ofertas)","1","244150000"
"La Uvita","2026","Selección abreviada subasta inversa","1","135000000"
"Paya","2023","Contratación régimen especial (con ofertas)","1","246954999.99"
"Coper","2026","Contratación régimen especial","1","14160825"
"Tunja","2020","Contratación directa","3942","786723664005.40"
"Tinjacá","2024","Contratación directa","45","778405074.0"
"Susacón","2026","Contratación régimen especial (con ofertas)","5","1040095456.98"
"La Uvita","2026","Mínima cuantía","30","1079512039.85"
"Cucaita","2024","Contratación Directa (con ofertas)","15","480032094.49"
"Sativanorte","2024","Mínima cuantía","24","534906397.94"
"Tunja","2021","Selección abreviada subasta inversa","55","23507682673.59"
"Quípama","2020","Contratación régimen especial (con ofertas)","1","221838540"
"San Pablo De Borbur","2023","Contratación directa","9","544694137.29"
"Chiquinquirá","2023","Selección abreviada subasta inversa","3","486959000"
"Paipa","2025","Mínima cuantía","15","227331823.67"
"Duitama","2022","Contratación Directa (con ofertas)","5","492048256"
"Boavita","2026","Selección Abreviada de Menor Cuantía","6","1475920693.38"
"Chita","2023","Selección Abreviada de Menor Cuantía","1","245701650"
"Macanal","2025","Contratación directa","72","1681643805.6"
"Tunja","2021","Contratación régimen especial (con ofertas)","35","29396522893.83"
"Nuevo Colón","2024","Contratación directa","89","1285144299.19"
"San Mateo","2025","Mínima cuantía","49","951610968.89"
"Tunja","2022","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","8","44661770596.44"
"Tinjacá","2023","Mínima cuantía","2","4829483"
"Maripí","2026","Mínima cuantía","37","1259692279"
"Macanal","2020","Contratación régimen especial (con ofertas)","4","394143152.95"
"Sáchica","2019","Contratación régimen especial (con ofertas)","6","977861001.77"
"No Definido","2021","Contratación Directa (con ofertas)","22","4503703284.37"
"Sora","2025","Contratación régimen especial","1","42000000"
"Pisba","2024","Contratación directa","102","1837023952.97"
"Susacón","2026","Selección Abreviada de Menor Cuantía","4","575300000"
"Motavita","2025","Selección Abreviada de Menor Cuantía","8","1256882300.66"
"Tibasosa","2025","Contratación régimen especial","17","2670829335.78"
"No Definido","2018","Mínima cuantía","201","4990305135.83"
"Tibasosa","2024","Selección abreviada subasta inversa","12","2015144658"
"Samacá","2024","Concurso de méritos abierto","2","129591611"
"Tinjacá","2025","Contratación directa","54","1282165283.4"
"Guateque","2018","Contratación régimen especial","1","582463000"
"Tasco","2024","Contratación régimen especial","1","20000000"
"Cucaita","2022","Contratación régimen especial","2","341839727.02"
"El Cocuy","2026","Concurso de méritos abierto","1","85293950"
"Tópaga","2025","Contratación directa","4","68766137.63"
"Rondón","2023","Contratación régimen especial (con ofertas)","2","476409802.26"
"Puerto Boyacá","2026","Mínima cuantía","44","1056885822"
"Pachavita","2023","Contratación régimen especial (con ofertas)","2","449636303.19"
"Berbeo","2023","Selección Abreviada de Menor Cuantía","1","88150000"
"San Eduardo","2026","Contratación directa","48","1261838646"
"Tuta","2022","Contratación régimen especial (con ofertas)","1","68292000"
"Tuta","2025","Contratación régimen especial (con ofertas)","8","4048874994"
"Nobsa","2024","Contratación directa","268","10402093630.76"
"Floresta","2025","Contratación régimen especial (con ofertas)","6","1468627677"
"Paya","2024","Selección Abreviada de Menor Cuantía","4","665499706.00"
"Santana","2025","Contratación directa","126","1865460792.34"
"San Pablo De Borbur","2025","Contratación régimen especial (con ofertas)","14","3715418654.21"
"Santana","2025","Contratación régimen especial","4","67772000"
"Tota","2024","Selección Abreviada de Menor Cuantía","3","422747846.63"
"Duitama","2025","Contratación directa","866","53029547864.38"
"Ciénega","2023","Contratación régimen especial (con ofertas)","6","1055381346.72"
"Rondón","2025","Mínima cuantía","3","14773887"
"Tota","2024","Mínima cuantía","32","774184568.31"
"Belén","2021","Contratación régimen especial (con ofertas)","7","1411440465"
"Coper","2026","Mínima cuantía","32","381238063"
"Guateque","2018","Contratación régimen especial (con ofertas)","3","889870013"
"Tunja","2019","Selección abreviada subasta inversa","17","11462955315.07"
"Firavitoba","2024","Selección abreviada subasta inversa","2","227167389.32"
"Covarachía","2026","Licitación pública Obra Publica","2","4045084982"
"Sotaquirá","2026","Contratación régimen especial (con ofertas)","6","2280232944.19"
"Belén","2025","Selección abreviada subasta inversa","5","1330610020"
"Ráquira","2023","Contratación régimen especial (con ofertas)","6","1706346895.93"
"Tasco","2023","Contratación directa","13","41323455.5"
"Turmequé","2024","Contratación régimen especial (con ofertas)","4","839441993.92"
"Nuevo Colón","2026","Contratación régimen especial (con ofertas)","6","1684777698.85"
"Briceño","2025","Contratación directa","80","1221981706.56"
"Viracachá","2019","Contratación régimen especial","1","86530554"
"Villa De Leyva","2024","Contratación Directa (con ofertas)","10","1034976836.5"
"Tunja","2018","Contratación régimen especial (con ofertas)","4","2914819101.2"
"Tunja","2024","Contratación directa","8363","281177321800.90"
"Nuevo Colón","2025","Contratación directa","86","2501661975.14"
"Nuevo Colón","2026","Selección Abreviada de Menor Cuantía","5","1415468446"
"Garagoa","2021","Contratación régimen especial (con ofertas)","8","618416176.57"
"San Eduardo","2022","Contratación régimen especial (con ofertas)","4","268891125.77"
"Iza","2026","Mínima cuantía","27","655483507"
"Covarachía","2025","Contratación directa","71","1606597465.9"
"Tasco","2026","Contratación régimen especial (con ofertas)","6","1984777759.48"
"Pauna","2026","Selección abreviada subasta inversa","3","1029602296"
"Boyacá","2024","Enajenación de bienes con subasta","1","23861204"
"Ramiriquí","2026","Selección abreviada subasta inversa","4","434467490.32"
"Caldas","2025","Contratación directa","60","1651894180.00"
"Puerto Boyacá","2026","Selección abreviada subasta inversa","17","2673311117"
"Paya","2025","Contratación régimen especial (con ofertas)","9","3258805966.97"
"Belén","2023","Selección Abreviada de Menor Cuantía","1","76205584"
"Boyacá","2026","Concurso de méritos abierto","1","91586600"
"Cuítiva","2018","Contratación régimen especial","1","118432000"
"San Pablo De Borbur","2025","Selección Abreviada de Menor Cuantía","10","2373559082.43"
"Chitaraque","2026","Contratación régimen especial (con ofertas)","4","1407528901.97"
"Nuevo Colón","2026","Contratación régimen especial","21","122475670.64"
"Garagoa","2024","Selección abreviada subasta inversa","9","2593131454.87"
"Tuta","2023","Mínima cuantía","18","284345812.98"
"Duitama","2021","Selección Abreviada de Menor Cuantía","10","2746949161.14"
"Covarachía","2023","Contratación régimen especial (con ofertas)","5","26726683"
"Motavita","2026","Selección abreviada subasta inversa","2","720233440"
"Miraflores","2024","Concurso de méritos abierto","3","195737600"
"Iza","2024","Contratación directa","78","1113111164"
"Sáchica","2025","Mínima cuantía","63","1795314008.66"
"Chivatá","2020","Contratación régimen especial (con ofertas)","1","175989600"
"Coper","2025","Contratación régimen especial","1","12100000"
"Tunja","2025","Licitación pública","22","94383279757.11"
"Turmequé","2024","Contratación régimen especial","38","410401992"
"Arcabuco","2023","Contratación régimen especial","1","2641800"
"Monguí","2024","Contratación régimen especial (con ofertas)","11","1335903782.54"
"Chivor","2025","Contratación régimen especial (con ofertas)","6","1143077141"
"Iza","2025","Licitación pública Obra Publica","1","1162562850.95"
"Covarachía","2025","Selección Abreviada de Menor Cuantía","6","1488387023.62"
"Nobsa","2025","Contratación régimen especial","12","2353696307.41"
"Tibasosa","2018","Contratación régimen especial","3","428347732"
"Miraflores","2023","Selección abreviada subasta inversa","6","1371519802"
"Villa De Leyva","2025","Contratación régimen especial","6","362047170.61"
"Soatá","2023","Mínima cuantía","9","161088664.36"
"Pauna","2021","Contratación régimen especial (con ofertas)","5","1265647593"
"Tuta","2024","Contratación Directa (con ofertas)","5","408632322"
"La Uvita","2025","Contratación directa","170","2013310197.20"
"Tibasosa","2019","Contratación régimen especial","6","1264761284"
"Ramiriquí","2024","Contratación régimen especial (con ofertas)","8","1272296850"
"Maripí","2025","Mínima cuantía","55","1404460971.76"
"Villa De Leyva","2021","Contratación directa","79","776117248"
"Monguí","2026","Contratación directa","63","1076266818.94"
"Pesca","2023","Contratación directa","4","176392735"
"Tibasosa","2024","Selección Abreviada de Menor Cuantía","12","2826804920.79"
"Tasco","2026","Contratación directa","55","1415221709.68"
"Tunja","2024","Contratación Directa (con ofertas)","940","261198670569.46"
"Corrales","2026","Selección Abreviada de Menor Cuantía","1","147599195.51"
"Nuevo Colón","2025","Contratación régimen especial","31","140186050.7"
"Muzo","2026","Contratación régimen especial","2","63623000"
"Boyacá","2026","Contratación directa","172","5851206739.17"
"Guateque","2024","Contratación régimen especial","1","160000000"
"Tunja","2025","Selección Abreviada de Menor Cuantía","70","30966721512.98"
"Tunja","2022","Licitación pública Obra Publica","22","110389026976.99"
"Firavitoba","2025","Selección abreviada subasta inversa","6","474788087.43"
"San Miguel De Sema","2021","Contratación régimen especial","1","102000000"
"Briceño","2022","Contratación régimen especial (con ofertas)","6","583232874.63"
"Guateque","2026","Selección Abreviada de Menor Cuantía","3","333325752"
"Chinavita","2025","Contratación régimen especial (con ofertas)","11","1727105831"
"Betéitiva","2026","Licitación pública Obra Publica","1","896887683"
"Moniquirá","2023","Contratación régimen especial (con ofertas)","22","11106492115"
"Miraflores","2018","Contratación régimen especial (con ofertas)","7","1541407938.44"
"Miraflores","2025","Contratación directa","180","129341357932.39"
"Corrales","2024","Contratación directa","120","1532041567.0"
"Paya","2017","Contratación directa","1","38000000"
"San Eduardo","2023","Selección abreviada subasta inversa","1","12294940"
"Santa Rosa De Viterbo","2022","Mínima cuantía","21","352906750"
"Ramiriquí","2022","Contratación régimen especial (con ofertas)","5","2030644138.89"
"Guateque","2024","Selección abreviada subasta inversa","8","2301182963.58"
"Villa De Leyva","2022","Licitación pública Obra Publica","4","3527708969.56"
"Susacón","2024","Selección Abreviada de Menor Cuantía","5","596922776.9"
"Sáchica","2025","Contratación régimen especial (con ofertas)","4","332948167"
"Aquitania","2025","Selección Abreviada de Menor Cuantía","5","1560523574.67"
"Somondoco","2024","Contratación directa","78","1509495054.33"
"San Mateo","2025","Selección abreviada subasta inversa","4","512101260.5"
"Sora","2024","Contratación Directa (con ofertas)","10","244466376.1"
"Togüí","2022","Contratación régimen especial (con ofertas)","4","515334600"
"San Pablo De Borbur","2020","Contratación régimen especial","2","312537147"
"Tópaga","2024","Contratación régimen especial (con ofertas)","5","1219410094.22"
"Santa Rosa De Viterbo","2023","Contratación régimen especial","1","600000"
"Ramiriquí","2025","Contratación directa","126","6557912019.14"
"Sora","2025","Selección Abreviada de Menor Cuantía","12","2127382040.30"
"Garagoa","2023","Selección Abreviada de Menor Cuantía","3","268553990.31"
"Caldas","2026","Contratación régimen especial (con ofertas)","4","1152872095.91"
"Siachoque","2022","Contratación régimen especial (con ofertas)","6","1791955597.49"
"Boyacá","2025","Contratación directa","209","10918180630.66"
"Cerinza","2024","Contratación régimen especial (con ofertas)","9","935421340.15"
"Buenavista","2021","Contratación régimen especial (con ofertas)","3","623567820"
"Duitama","2024","Contratación régimen especial","1","1963500"
"Quípama","2023","Contratación régimen especial (con ofertas)","2","501074201.94"
"Tunja","2020","Contratación régimen especial (con ofertas)","46","14257320187.83"
"Pisba","2025","Contratación régimen especial (con ofertas)","4","1002017990"
"Moniquirá","2023","Enajenación de bienes con sobre cerrado","1","130000000"
"Sativasur","2025","Contratación régimen especial (con ofertas)","3","247695072"
"Santana","2023","Concurso de méritos abierto","1","68194188.08"
"Belén","2026","Contratación régimen especial (con ofertas)","6","2562407970.94"
"Siachoque","2025","Mínima cuantía","2","37422086"
"Belén","2024","Selección Abreviada de Menor Cuantía","5","480103357"
"Puerto Boyacá","2025","Concurso de méritos abierto","2","416709739"
"Tuta","2025","Contratación Directa (con ofertas)","17","1559950529.31"
"Tunja","2022","Contratación régimen especial (con ofertas)","46","38543967288.10"
"Macanal","2026","Selección abreviada subasta inversa","5","2303602337"
"Cubará","2024","Contratación Directa (con ofertas)","5","60515639"
"Tunja","2025","Contratación régimen especial","1687","432512221917.45"
"Santa Rosa De Viterbo","2026","Contratación régimen especial (con ofertas)","3","2502946348.42"
"La Uvita","2026","Concurso de méritos abierto","1","299999952"
"Turmequé","2019","Contratación régimen especial","1","645614270"
"Miraflores","2022","Contratación régimen especial (con ofertas)","13","2672025714.14"
"Paipa","2025","Contratación régimen especial","63","2092109930.45"
"Briceño","2024","Selección abreviada subasta inversa","1","105000000"
"Ventaquemada","2024","Contratación régimen especial (con ofertas)","3","1175000000"
"Socotá","2023","Mínima cuantía","6","87336179.05"
"Sogamoso","2023","Contratación régimen especial (con ofertas)","3","60500001"
"Tota","2021","Contratación régimen especial (con ofertas)","1","199644166"
"Motavita","2025","Licitación pública","1","512000000"
"Garagoa","2023","Mínima cuantía","10","158824263"
"San Eduardo","2021","Mínima cuantía","2","20691507.95"
"Firavitoba","2025","Contratación directa","98","2238289634.17"
"San Eduardo","2026","Selección Abreviada de Menor Cuantía","3","642278364.62"
"Chita","2026","Selección Abreviada de Menor Cuantía","7","1852953019.99"
"Sotaquirá","2021","Contratación régimen especial (con ofertas)","3","352604790"
"Tunja","2020","Contratación régimen especial","251","208222780091"
"Iza","2024","Mínima cuantía","42","672884359.96"
"Gachantivá","2025","Concurso de méritos abierto","2","248048301.02"
"Cómbita","2024","Concurso de méritos abierto","1","120000000"
"Sutamarchán","2025","Contratación régimen especial","3","66960000"
"Socotá","2024","Selección abreviada subasta inversa","3","1285670587.1"
"Nobsa","2025","Contratación directa","255","19580622171.50"
"Sogamoso","2021","Contratación directa","946","35530993613.45"
"Sora","2024","Selección Abreviada de Menor Cuantía","12","2429338166.45"
"Caldas","2024","Selección Abreviada de Menor Cuantía","8","1008635549"
"Tunja","2023","Licitación pública","24","96351210498.63"
"El Cocuy","2024","Selección Abreviada de Menor Cuantía","11","1866455524.39"
"Garagoa","2026","Mínima cuantía","53","1661336044.17"
"Tasco","2023","Contratación régimen especial (con ofertas)","5","1095462972.12"
"Tunja","2020","Licitación pública Obra Publica","1","5971766216.07"
"San Pablo De Borbur","2025","Contratación régimen especial","2","56400000"
"Boavita","2024","Mínima cuantía","57","1331807689.52"
"San Eduardo","2026","Contratación régimen especial (con ofertas)","7","896835345.18"
"Sativanorte","2025","Contratación directa","86","1548044911.03"
"Saboyá","2023","Contratación régimen especial (con ofertas)","3","1664284350.06"
"Motavita","2025","Mínima cuantía","37","689823717.63"
"Cómbita","2026","Selección Abreviada de Menor Cuantía","10","1910591604.6"
"Sora","2024","Concurso de méritos abierto","3","303596579.44"
"Boyacá","2024","Selección Abreviada de Menor Cuantía","12","2689264303.33"
"Sáchica","2023","Contratación directa","1","20130000"
"Aquitania","2023","Mínima cuantía","50","1073159419.67"
"Guateque","2020","Contratación régimen especial","3","162230000"
"Villa De Leyva","2024","Selección abreviada subasta inversa","8","2079755133.42"
"Sutatenza","2024","Contratación régimen especial (con ofertas)","2","255977376.9"
"Umbita","2022","Contratación régimen especial (con ofertas)","5","871643442.17"
"Cucaita","2026","Contratación Directa (con ofertas)","8","322060000"
"Aquitania","2023","Licitación pública Obra Publica","2","1010661283"
"Santa María","2025","Selección Abreviada de Menor Cuantía","6","1605355587.25"
"Maripí","2023","Contratación régimen especial (con ofertas)","5","1408272274.40"
"Pisba","2024","Concurso de méritos abierto","2","172101240"
"Tasco","2024","Contratación régimen especial (con ofertas)","10","2340571984.07"
"No Definido","2026","Concurso de méritos abierto","6","823655773.23"
"Moniquirá","2020","Mínima cuantía","22","154627353"
"Almeida","2018","Contratación régimen especial (con ofertas)","2","188166041.15"
"Nobsa","2025","Selección abreviada subasta inversa","9","2035833379.65"
"Pisba","2023","Mínima cuantía","10","135799427"
"Jenesano","2018","Contratación régimen especial","6","897742717"
"Cerinza","2025","Contratación directa","72","1043435890"
"Boyacá","2023","Contratación directa","11","42050000"
"Moniquirá","2026","Selección Abreviada de Menor Cuantía","3","496338929.72"
"Coper","2024","Contratación régimen especial","2","64100000"
"Moniquirá","2025","Licitación pública","1","2489681558"
"Santa Sofía","2025","Selección abreviada subasta inversa","1","699980000"
"Umbita","2023","Contratación régimen especial","1","24424169"
"Santana","2025","Selección Abreviada de Menor Cuantía","4","508054781.6"
"San Mateo","2023","Contratación régimen especial (con ofertas)","1","22900000"
"Motavita","2025","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","1","883657592"
"Soracá","2025","Contratación régimen especial (con ofertas)","7","3205907239.67"
"Motavita","2026","Selección Abreviada de Menor Cuantía","7","1272645264.8"
"Briceño","2023","Selección Abreviada de Menor Cuantía","1","74902156"
"No Definido","2021","Selección Abreviada de Menor Cuantía","9","1262134903.65"
"Chivatá","2025","Contratación régimen especial (con ofertas)","2","548984667"
"Boavita","2024","Selección abreviada subasta inversa","1","199521532"
"Pauna","2018","Contratación régimen especial (con ofertas)","3","1912290000"
"Turmequé","2023","Contratación régimen especial","62","635802485"
"Santa María","2021","Contratación régimen especial (con ofertas)","4","474714657"
"Soatá","2024","Concurso de méritos abierto","2","395700000"
"No Definido","2024","Contratación directa","1082","17469127494.31"
"Sativasur","2025","Contratación directa","64","921246885.98"
"Chitaraque","2022","Contratación régimen especial (con ofertas)","1","492462900"
"Samacá","2025","Selección abreviada subasta inversa","8","1048437345.99"
"Chivatá","2025","Contratación directa","2","20000000"
"Tota","2026","Contratación régimen especial (con ofertas)","6","1560766009"
"Cucaita","2026","Licitación pública","1","481766800"
"Umbita","2025","Contratación régimen especial","5","666579856.8"
"Monguí","2025","Contratación directa","58","1486003021.33"
"Maripí","2026","Licitación pública","1","1107316000"
"Pesca","2018","Contratación régimen especial","1","307265250"
"Sáchica","2026","Licitación pública","1","876560460"
"Garagoa","2026","Concurso de méritos abierto","1","452941265.85"
"Samacá","2024","Selección Abreviada de Menor Cuantía","10","2512634510"
"Aquitania","2022","Selección abreviada subasta inversa","4","571229105"
"Nobsa","2026","Mínima cuantía","19","493821703"
"Motavita","2023","Mínima cuantía","3","88516492.5"
"Nobsa","2024","Selección Abreviada de Menor Cuantía","1","109800000"
"Boavita","2026","Licitación pública","1","472003016.75"
"Briceño","2025","Contratación régimen especial (con ofertas)","5","763737065.4"
"No Definido","2019","Contratación directa","2","37472400"
"Jenesano","2026","Contratación régimen especial (con ofertas)","10","2789911477.97"
"Betéitiva","2025","Mínima cuantía","41","845931388.07"
"Guacamayas","2022","Selección Abreviada de Menor Cuantía","1","35712000"
"Nobsa","2025","Licitación pública","1","809084858"
"Guateque","2023","Selección abreviada subasta inversa","1","39987927"
"Santa Rosa De Viterbo","2025","Contratación régimen especial (con ofertas)","8","3622868097.8"
"Pesca","2024","Selección abreviada subasta inversa","4","512877331"
"No Definido","2025","Contratación régimen especial","112","3371989447.95"
"Cubará","2025","Contratación régimen especial","9","1312697085"
"Paya","2024","Concurso de méritos abierto","2","277541944.75"
"Villa De Leyva","2025","Contratación Directa (con ofertas)","18","1626920830.3"
"Puerto Boyacá","2021","Selección Abreviada de Menor Cuantía","21","3160277979"
"Sutamarchán","2024","Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes","1","1189471265.03"
"Tipacoque","2025","Contratación régimen especial (con ofertas)","10","2136423972.62"
"Sotaquirá","2026","Selección abreviada subasta inversa","1","349920604"
"No Definido","2023","Licitación pública","3","3955139579.8"
"Coper","2025","Selección Abreviada de Menor Cuantía","8","1924813478.68"
"Floresta","2026","Concurso de méritos abierto","2","215404830"
"San Miguel De Sema","2026","Contratación régimen especial (con ofertas)","3","1024714810.46"
"Briceño","2024","Contratación Directa (con ofertas)","3","137127886"
"Panqueba","2026","Contratación régimen especial (con ofertas)","4","738282753.98"
"No Definido","2021","Contratación régimen especial","9","713024006"
"Corrales","2024","Mínima cuantía","50","1110296775.11"
"Iza","2019","Contratación régimen especial","3","3"
"Chivatá","2025","Mínima cuantía","10","243330338.97"
"Tuta","2025","Contratación directa","190","2616563732.02"
"Sotaquirá","2026","Mínima cuantía","26","1094551372.75"
"Turmequé","2019","Contratación régimen especial (con ofertas)","1","100493089"
"Coper","2025","Mínima cuantía","49","807127177.11"
"Miraflores","2023","Licitación pública Obra Publica","2","986059301.24"
"Sora","2026","Contratación régimen especial (con ofertas)","1","73500000"
"Tutazá","2025","Contratación régimen especial (con ofertas)","10","873998207.76"
"Villa De Leyva","2023","Selección abreviada subasta inversa","10","1654082058.68"
"Coper","2025","Concurso de méritos abierto","1","84549723"
"No Definido","2022","Concurso de méritos abierto","2","178536942.39"
"Santa María","2024","Enajenación de bienes con sobre cerrado","1","26957000"
"Iza","2024","Selección Abreviada de Menor Cuantía","3","362665671.55"
"Belén","2023","Contratación régimen especial (con ofertas)","15","7993503519.77"
"Tunja","2026","Concurso de méritos abierto","10","4417389177.13"
"Sora","2025","Mínima cuantía","41","803386659.06"
"Sáchica","2021","Contratación directa","2","34392000"
"Coper","2025","Selección abreviada subasta inversa","2","219318915"
"Sutamarchán","2021","Contratación régimen especial","1","69599575"
"No Definido","2023","Selección abreviada subasta inversa","14","5664124609"
"Sora","2021","Contratación régimen especial (con ofertas)","3","320491277"
"Togüí","2024","Contratación régimen especial (con ofertas)","12","1381452841.2"
"Tópaga","2022","Mínima cuantía","1","26170000"
"Susacón","2024","Mínima cuantía","27","609715233.75"
"Briceño","2026","Contratación régimen especial (con ofertas)","5","913375912.88"
"Ramiriquí","2025","Selección abreviada subasta inversa","3","525800045.01"
"Cómbita","2025","Selección Abreviada de Menor Cuantía","13","2328796238"
"No Definido","2024","Licitación pública Obra Publica","9","7620568939.88"
"Chitaraque","2020","Contratación régimen especial (con ofertas)","3","718929381"
"Sáchica","2026","Mínima cuantía","32","860550963.11"
"Paipa","2026","Mínima cuantía","7","151097602"
"Iza","2020","Contratación directa","1","1"
"Berbeo","2026","Selección abreviada subasta inversa","1","75850000"
"No Definido","2018","Contratación directa","2","36000000"
"Tunja","2024","Mínima cuantía","404","16211994172.98"
"Cómbita","2024","Selección abreviada subasta inversa","3","774761813"
"Tinjacá","2024","Concurso de méritos abierto","1","59987900"
"Sora","2024","Contratación directa","82","1308928862.4"
"Tasco","2022","Contratación régimen especial (con ofertas)","7","1440172549.93"
"Santa Sofía","2023","Contratación régimen especial (con ofertas)","5","957074169.03"
"Cerinza","2025","Selección Abreviada de Menor Cuantía","2","121146831.75"
"No Definido","2026","Selección abreviada subasta inversa","33","7820738069.44"
"Puerto Boyacá","2024","Mínima cuantía","118","2691408665"
"Tunja","2022","Selección Abreviada de Menor Cuantía","80","19156392502.54"
"Iza","2025","Contratación directa","97","1472199537.4"
